bbl,subsidized_today
1011687501,0
1011690008,57
1011690016,362
1011690029,21
1011690040,17
1011690042,10
1011690057,88
1011697501,3
1011697502,0
1011700012,26
1011700021,1
1011700022,1
1011700023,1
1011700037,1
1011700039,2
1011700040,6
1011700041,1
1011700042,1
1011700120,2
1011700122,5
1011707501,18
1011707502,48
1011710062,992
1011710063,500
1011710129,480
1011710132,153
1011710133,708
1011710148,0
1011710157,214
1011710165,0
1011717505,0
1011717506,662
1011717507,0
1011717508,690
1011717509,108
1011717510,0
1011717511,232
1011797501,23
1011797502,21
1011797503,33
1011820012,0
1011820029,72
1011820046,5
1011820048,1
1011827501,2
1011830017,2
1011830018,2
1011830019,3
1011830022,13
1011830024,2
1011830026,2
1011830027,1
1011830029,13
1011830032,1
1011830037,11
1011830046,1
1011830050,5
1011830053,36
1011830117,1
1011830118,1
1011830124,1
1011830127,9
1011830131,7
1011840002,7
1011840004,13
1011840006,7
1011840007,3
1011840019,3
1011840022,1
1011840024,2
1011840031,16
1011840062,1
1011840064,2
1011840065,5
1011840066,5
1011840067,3
1011840072,2
1011840073,3
1011840074,1
1011840087,7
1011840089,10
1011840099,3
1011840100,1
1011840101,2
1011840103,1
1011847501,3
1011850001,21
1011850008,2
1011850010,1
1011850011,6
1011850012,1
1011850013,1
1011850019,1
1011850024,2
1011850028,9
1011850029,1
1011850030,2
1011850031,6
1011850032,5
1011850037,4
1011850038,6
1011850039,7
1011850041,3
1011850042,1
1011850047,3
1011850050,7
1011850051,5
1011850052,5
1011850053,3
1011850056,1
1011850057,1
1011850058,2
1011850061,2
1011850064,5
1011850066,1
1011850067,3
1011850070,1
1011850080,6
1011850084,3
1011850086,1
1011850087,2
1011850088,5
1011850089,2
1011850090,9
1011850092,2
1011850093,1
1011850094,3
1011850095,5
1011850096,3
1011850150,2
1011850196,1
1011860009,17
1011860013,2
1011860015,19
1011860025,48
1011860033,6
1011860034,2
1011860036,4
1011860037,9
1011860038,2
1011860040,4
1011860052,2
1011860068,2
1011860069,3
1011860070,4
1011860083,16
1011860084,8
1011950001,1
1011950010,5
1011950014,16
1011950041,2
1011950042,1
1011950048,9
1011950051,4
1011950052,1
1011950054,14
1011950057,5
1011950058,1
1011950059,1
1011950060,2
1011950062,1
1011950063,2
1011950064,1
1011950152,2
1011950157,1
1011960001,2
1011960002,4
1011960004,6
1011960005,1
1011960006,3
1011960007,8
1011960009,1
1011960019,6
1011960020,1
1011960022,1
1011960023,3
1011960024,1
1011960029,10
1011960042,2
1011960043,2
1011960046,12
1011960048,2
1011960049,10
1011960051,5
1011960052,3
1011960057,1
1011960061,15
1011960062,4
1011960063,12
1011960064,7
1011960105,1
1011960114,3
1011960137,1
1011970001,1
1011970002,6
1011970003,3
1011970004,5
1011970010,1
1011970027,26
1011970036,1
1011970052,1
1011970057,1
1011970058,2
1011970059,4
1011970061,7
1011970063,1
1011970064,7
1011970106,1
1011970113,13
1011970119,1
1011970157,4
1011970159,3
1011977501,3
1011980001,15
1011980003,7
1011980006,4
1011980013,1
1011980014,3
1011980015,14
1011980017,31
1011980019,16
1011980024,10
1011980025,5
1011980029,34
1011980037,4
1011980038,2
1011980040,1
1011980041,1
1011980042,1
1011980043,3
1011980048,5
1011980049,4
1011980050,1
1011980052,8
1011980054,1
1011980056,1
1011980057,1
1011980058,3
1011980059,4
1011980111,1
1011980126,2
1011980138,6
1011980143,8
1011980147,2
1011980153,1
1011987502,4
1011990001,13
1011990006,5
1011990008,1
1011990009,4
1011990010,6
1011990011,4
1011990013,25
1011990016,2
1011990018,6
1011990019,4
1011990021,1
1011990024,2
1011990025,2
1011990026,3
1011990029,10
1011990042,1
1011990043,1
1011990045,15
1011990052,4
1011990055,18
1011990058,10
1011990061,13
1011990117,1
1012000001,2
1012000002,2
1012000005,19
1012000008,2
1012000009,2
1012000010,2
1012000011,37
1012000015,14
1012000019,30
1012000025,11
1012000037,1
1012000038,4
1012000039,3
1012000040,3
1012000042,1
1012000043,1
1012000047,1
1012000051,1
1012000052,14
1012000053,1
1012000055,2
1012000056,5
1012000064,1
1012000142,2
1012000150,1
1012000152,1
1012010009,10
1012010011,5
1012010012,7
1012010013,1
1012010016,2
1012010019,3
1012010020,2
1012010021,4
1012010023,14
1012010027,6
1012010034,35
1012010039,1
1012010042,2
1012010043,6
1012010044,4
1012010045,8
1012010046,4
1012010048,0
1012010050,1
1012010051,4
1012010052,3
1012010053,1
1012010055,1
1012010056,1
1012010058,86
1012010110,1
1012010122,1
1012010140,6
1012020001,0
1012020011,1
1012020012,3
1012020013,2
1012020018,3
1012020019,1
1012020020,4
1012020042,2
1012020043,3
1012020048,2
1012020050,1
1012020053,2
1012020054,1
1012020055,3
1012020058,2
1012020112,3
1012020116,1
1012020141,8
1012020145,5
1012020149,4
1012020153,1
1012030001,0
1012030005,3
1012030007,3
1012030010,4
1012030011,1
1012030017,2
1012030018,2
1012030021,5
1012030022,6
1012030023,10
1012030025,2
1012030031,14
1012030033,25
1012030038,2
1012030039,1
1012030040,5
1012030041,2
1012030042,3
1012030045,1
1012030047,3
1012030054,2
1012030055,5
1012030109,6
1012030117,18
1012030121,4
1012030138,4
1012030150,3
1012037501,1
1012037502,2
1012040001,0
1012040008,1
1012040009,2
1012040010,2
1012040011,2
1012040012,1
1012040013,6
1012040015,1
1012040016,2
1012040020,1
1012040051,3
1012040052,1
1012040054,5
1012040106,2
1012040153,10
1012050022,29
1012050029,5
1012060001,146
1012060010,31
1012060017,6
1012060045,72
1012067501,13
1012070001,0
1012070006,4
1012070015,1
1012070029,1
1012070045,3
1012080001,175
1012080015,1
1012080027,1
1012080029,76
1012080039,1
1012080041,2
1012080042,2
1012080045,1
1012080050,9
1012080052,2
1012080114,1
1012090001,179
1012090006,6
1012090021,2
1012090025,1
1012090027,5
1012090028,1
1012090042,1
1012090044,1
1012090046,9
1012090047,6
1012090048,3
1012090049,1
1012090109,16
1012090123,2
1012090126,6
1012090142,5
1012090148,2
1012100001,16
1012100004,5
1012100005,12
1012100009,7
1012100012,11
1012100017,1
1012100019,3
1012100023,1
1012100025,1
1012100037,1
1012100038,4
1012100039,7
1012100041,2
1012100044,1
1012100045,3
1012100048,1
1012100049,2
1012100050,1
1012100052,3
1012100055,17
1012100138,4
1012100149,1
1012107503,1
1012110003,9
1012110005,1
1012110006,7
1012110007,0
1012110009,2
1012110010,1
1012110011,3
1012110013,1
1012110014,1
1012110015,1
1012110016,2
1012110017,1
1012110018,3
1012110019,1
1012110020,2
1012110022,2
1012110027,1
1012110028,1
1012110029,6
1012110034,5
1012110037,1
1012110038,2
1012110040,1
1012110041,5
1012110043,1
1012110052,10
1012110056,4
1012110059,5
1012110063,1
1012110121,4
1012110142,9
1012120001,8
1012120003,6
1012120005,3
1012120006,11
1012120008,10
1012120009,4
1012120019,1
1012120022,7
1012120024,2
1012120025,1
1012120026,7
1012120046,1
1012120052,0
1012120053,11
1012120064,1
1012120110,38
1012120118,1
1012130001,1
1012130014,3
1012130015,2
1012130022,7
1012130023,3
1012130034,9
1012130035,8
1012130036,9
1012130037,4
1012130040,6
1012130042,144
1012130051,33
1012130060,9
1012130061,1
1012130107,1
1012137503,6
1012137504,7
1012140002,5
1012140003,7
1012140005,7
1012140006,5
1012140007,5
1012140012,1
1012140017,4
1012140018,5
1012140054,3
1012140059,4
1012140060,5
1012140061,2
1012140062,1
1012140063,16
1012150033,13
1012150035,1
1012150056,2
1012150063,3
1012150064,2
1012160004,3
1012160006,5
1012160008,5
1012160011,3
1012160018,1
1012160019,1
1012160020,4
1012160023,1
1012160027,14
1012160033,1
1012160034,1
1012160038,2
1012160039,17
1012160043,3
1012160044,3
1012160047,2
1012160048,17
1012160050,1
1012160051,18
1012160054,12
1012160060,17
1012160104,3
1012160108,3
1012160111,4
1012160140,16
1012160143,2
1012167502,12
1012170017,5
1012170023,4
1012170025,16
1012170029,3
1012170034,3
1012170035,6
1012170038,2
1012170041,2
1012170045,1
1012170046,1
1012170049,4
1012170050,8
1012170057,404
1012170064,4
1012170113,2
1012170136,3
1012170146,10
1012180015,12
1012180022,6
1012180044,2
1012180047,2
1012180049,2
1012190022,3
1012190057,1
1012190059,1
1012190118,1
1012200001,528
1012200012,0
1012200013,0
1012200029,0
1012207501,2
1012210029,26
1012220049,1
1012220050,2
1012220051,2
1012220052,1
1012220053,2
1012220054,6
1012220056,2
1012220057,2
